PLAYER_NAME,AGE,POS,GP,MPG,FGMPG,FGAPG,FG_PCT,FG3MPG,FG3APG,FG3_PCT,FTMPG,FTAPG,FT_PCT,ORPG,DRPG,RPG,APG,SPG,BPG,TOVPG,PPG,PFPG,FPPG,DD2,TD3,COUNTRY,TEAM_NAME
A.J. Lawson,24.0,Guard,26,18.7,3.1,7.3,0.421,1.3,3.9,0.327,1.7,2.4,0.683,0.8,2.5,3.3,1.2,0.5,0.2,0.6,9.1,1.7,16.4,2,0,Canada,Raptors
AJ Green,25.0,Guard,73,22.7,2.5,5.8,0.429,2.1,5.0,0.427,0.3,0.4,0.815,0.2,2.1,2.4,1.5,0.5,0.1,0.5,7.4,2.2,13.8,0,0,USA,Bucks
AJ Johnson,20.0,Guard,29,22.0,2.8,7.3,0.385,0.8,3.1,0.267,1.1,1.3,0.865,0.3,1.8,2.0,2.6,0.4,0.1,1.2,7.6,1.7,14.3,0,0,USA,Wizards
Aaron Gordon,29.0,Forward,51,28.4,5.2,9.7,0.531,1.5,3.4,0.436,2.8,3.5,0.81,1.6,3.3,4.8,3.2,0.5,0.3,1.4,14.7,1.6,26.0,3,0,USA,Nuggets
Aaron Holiday,28.0,Guard,62,12.8,1.9,4.3,0.437,1.2,2.9,0.398,0.5,0.7,0.829,0.2,1.0,1.3,1.3,0.3,0.2,0.6,5.5,1.0,9.9,0,0,USA,Rockets
Aaron Nesmith,25.0,Guard-Forward,45,24.9,4.3,8.4,0.507,1.9,4.3,0.431,1.6,1.8,0.913,0.8,3.1,4.0,1.2,0.8,0.4,0.8,12.0,2.5,21.2,0,0,USA,Pacers
Aaron Wiggins,26.0,Guard,76,22.9,4.7,9.6,0.488,1.7,4.5,0.383,1.0,1.2,0.831,1.1,2.8,3.9,1.8,0.8,0.2,0.9,12.0,1.3,21.5,2,0,USA,Thunder
Adam Flagler,25.0,Guard,37,5.5,0.7,2.6,0.26,0.4,1.9,0.194,0.0,0.1,0.5,0.2,0.5,0.7,0.3,0.2,0.1,0.1,1.8,0.4,3.9,0,0,USA,Thunder
Adama Sanogo,23.0,Forward,4,5.4,1.0,1.8,0.571,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.2,1.5,0.2,0.0,0.0,0.2,2.0,0.2,3.9,0,0,Mali,
Adem Bona,22.0,Forward,58,15.6,2.3,3.3,0.703,0.0,0.0,0.0,1.2,1.7,0.67,1.6,2.6,4.2,0.5,0.4,1.2,1.1,5.8,2.2,15.4,3,0,Nigeria,76ers
Ajay Mitchell,23.0,Guard,36,16.6,2.5,5.1,0.495,0.6,1.7,0.383,0.8,1.0,0.829,0.5,1.4,1.9,1.8,0.7,0.1,0.8,6.5,1.9,13.0,1,0,Belgium,Thunder
Al Horford,39.0,Center-Forward,60,27.6,3.2,7.7,0.423,1.9,5.2,0.363,0.6,0.6,0.895,1.3,4.8,6.2,2.1,0.6,0.8,0.8,9.0,1.4,23.1,7,0,Dominican Republic,Celtics
Alec Burks,33.0,Guard,49,17.6,2.3,5.5,0.424,1.8,4.2,0.425,0.8,1.0,0.776,0.3,2.2,2.5,1.1,0.6,0.1,0.6,7.3,0.8,13.5,0,0,USA,Heat
Alex Caruso,31.0,Guard,54,19.3,2.6,5.8,0.446,1.1,3.1,0.353,0.8,0.9,0.824,0.7,2.2,2.9,2.5,1.6,0.6,0.7,7.1,1.9,20.2,0,0,USA,Thunder
Alex Ducas,24.0,Guard,21,6.0,0.6,1.4,0.4,0.5,1.0,0.476,0.1,0.1,1.0,0.4,0.8,1.2,0.2,0.2,0.0,0.2,1.7,0.6,4.1,0,0,Australia,Thunder
Alex Len,32.0,Center,46,8.3,0.7,1.4,0.508,0.0,0.2,0.222,0.2,0.4,0.471,0.8,1.2,2.1,0.8,0.2,0.5,0.4,1.6,1.2,6.8,0,0,Ukraine,Lakers
Alex Reese,26.0,Forward-Center,15,14.4,1.7,3.6,0.481,1.0,2.7,0.366,0.6,0.8,0.75,0.6,2.5,3.1,0.3,0.7,0.7,0.4,5.1,1.4,12.8,0,0,USA,76ers
Alex Sarr,20.0,Center,67,27.1,4.9,12.4,0.394,1.6,5.1,0.308,1.7,2.5,0.679,1.9,4.6,6.5,2.4,0.7,1.5,1.7,13.0,2.2,29.2,10,0,France,Wizards
Alondes Williams,26.0,Guard,1,3.7,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,6.5,0,0,USA,
Alperen Sengun,22.0,Center,76,31.5,7.5,15.0,0.496,0.3,1.2,0.233,3.9,5.6,0.692,3.4,6.9,10.3,4.9,1.1,0.8,2.6,19.1,2.8,42.0,45,4,Turkey,Rockets
Amen Thompson,22.0,Guard-Forward,69,32.3,5.6,10.1,0.557,0.4,1.3,0.275,2.4,3.6,0.684,2.8,5.4,8.2,3.8,1.4,1.3,2.0,14.1,2.4,35.7,21,3,USA,Rockets
Amir Coffey,28.0,Guard-Forward,72,24.3,3.3,7.1,0.471,1.4,3.4,0.409,1.6,1.8,0.891,0.4,1.8,2.2,1.1,0.6,0.1,0.6,9.7,1.7,15.3,0,0,USA,Clippers
Andre Drummond,31.0,Center,40,18.8,2.9,5.8,0.5,0.1,0.5,0.15,1.4,2.2,0.622,2.7,5.0,7.8,0.8,1.0,0.4,1.4,7.3,2.4,20.8,5,0,USA,76ers
Andre Jackson Jr.,23.0,Guard,67,14.6,1.4,2.9,0.477,0.4,1.1,0.395,0.2,0.4,0.5,1.0,1.7,2.7,1.2,0.5,0.2,0.9,3.4,1.7,9.8,0,0,USA,Bucks
Andrew Nembhard,25.0,Guard-Forward,65,28.9,3.8,8.3,0.458,0.8,2.7,0.291,1.7,2.1,0.794,0.5,2.8,3.3,5.0,1.2,0.2,1.7,10.0,2.3,24.0,2,0,Canada,Pacers
Andrew Wiggins,30.0,Forward,60,30.7,6.3,14.0,0.448,2.2,5.8,0.374,3.3,4.3,0.763,1.5,3.0,4.5,2.6,1.0,0.8,1.6,18.0,1.7,31.1,3,0,Canada,Heat
Anfernee Simons,26.0,Guard,70,32.7,6.8,16.1,0.426,3.1,8.5,0.363,2.5,2.8,0.902,0.4,2.3,2.7,4.8,0.9,0.1,2.0,19.3,1.7,30.5,2,0,USA,Celtics
Anthony Black,21.0,Guard,78,24.2,3.4,7.9,0.423,0.8,2.5,0.318,1.9,2.5,0.761,0.7,2.3,2.9,3.1,1.1,0.6,1.8,9.4,2.1,21.0,1,0,USA,Magic
Anthony Davis,32.0,Forward-Center,51,33.4,9.2,17.8,0.516,0.7,2.4,0.282,5.6,7.2,0.775,2.6,8.9,11.6,3.5,1.2,2.2,2.2,24.7,1.9,51.7,36,1,USA,Mavericks
